Name,Author,Link,Purchased,Type
"Cracking the Tech Career: Insider Advice on Landing a Job at Google, Microsoft, Apple, or any Top Tech Company",Gayle Laakmann McDowell,https://www.amazon.co.uk/Cracking-Tech-Career-Insider-Microsoft/dp/1118968085,Yes,Book
The Passionate Programmer: Creating a Remarkable Career in Software Development (Pragmatic Life),Chad Fowler,https://www.amazon.co.uk/gp/product/1934356344,Yes,Book
Soft Skills: The Software Developer’s Life Manual,John Sonmez,https://www.amazon.co.uk/Soft-Skills-Software-Developers-Manual/dp/0999081446,No,Book
Mastery: The Keys to Success And Long-Term Fulfillment (Plume,George Leonard,https://www.amazon.co.uk/Mastery-Success-Long-Term-Fulfillment-Plume/dp/0452267560,Yes,Book
Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,https://www.amazon.co.uk/Mind-Numbers-Science-Flunked-Algebra/dp/039916524X,Yes,Book
Pragmatic Thinking and Learning: Refactor Your Wetware (Pragmatic Programmers),Andy Hunt,https://www.amazon.co.uk/Pragmatic-Thinking-Learning-Refactor-Programmers/dp/1934356050,No,Book
The 5 Elements of Effective Thinking,Edward B. Burger,https://www.amazon.co.uk/5-Elements-Effective-Thinking/dp/0691156662,No,Book
The Slight Edge,Jeff Olson,https://www.amazon.co.uk/Slight-Edge-Jeff-Olson/dp/1935944312,No,Book
Time Management (The Brian Tracy Success Library),Brian Tracy,https://www.amazon.co.uk/Management-Brian-Tracy-Success-Library/dp/140022229X,No,Book
Peopleware: Productive Projects and Teams (3rd Edition),Tim Lister,https://www.amazon.co.uk/Peopleware-Productive-Projects-Teams-3rd/dp/0321934113,No,Book
Good To Great: Why Some Companies Make the Leap... and Others Don',Jim Collins,https://www.amazon.co.uk/Good-Great-Jim-Collins/dp/0712676090,No,Book
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,https://www.amazon.co.uk/Deep-Work-Focused-Success-Distracted/dp/0349411905,No,Book
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,https://www.amazon.co.uk/gp/product/0241453577,No,Book
A World Without Email: Reimagining Work in the Age of Overload,Cal Newport,https://www.amazon.co.uk/gp/product/0241341418,No,Book
So Good They Can't Ignore You,Cal Newport,https://www.amazon.co.uk/gp/product/0349415862,No,Book
Mindset - Updated Edition: Changing The Way You think To Fulfil Your Potential,Dr Carol Dweck,https://www.amazon.co.uk/Mindset-Updated-Changing-Fulfil-Potential/dp/147213995X,No,Book
Atomic Habits: The life-changing million copy bestseller,James Clear,https://www.amazon.co.uk/Atomic-Habits-Proven-Build-Break/dp/1847941834,No,Book
Think Again: The Power of Knowing What You Don’t Know,Adam Grant,https://www.amazon.co.uk/Think-Again-Power-Knowing-What/dp/0753553880,No,Book
The Power of Habit: Why We Do What We Do in Life and Business Hardcover,Charles Duhigg,https://www.amazon.co.uk/Power-Habit-Business-Hardcover-Feb-28-2012/dp/B00FQ48796,No,Book
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,https://www.amazon.co.uk/Tiny-Habits-Changes-Change-Everything-ebook/dp/B07R6VQBSZ,No,Book
Willpower Doesn't Work: Discover the Hidden Keys to Success,Benjamin Hardy,https://www.amazon.co.uk/Willpower-Doesnt-Work-Discover-Success/dp/0349417946,No,Book
"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris Bailey,https://www.amazon.co.uk/Productivity-Project-Accomplishing-Managing-Attention/dp/1101904054,No,Book
"15 Secrets Successful People Know About Time Management: The Productivity Habits of 7 Billionaires, 13 Olympic Athletes, 29 Straight A Students, and 239 Entrepreneurs",Kevin Kruse,https://www.amazon.co.uk/Secrets-Successful-People-Management-Straight/dp/0985056436,No,Book
"Extreme Productivity: Boost Your Results, Reduce Your Hours",Robert C Pozen,https://www.amazon.co.uk/Extreme-Productivity-Boost-Results-Reduce/dp/0063091046,No,Book
Hello World: How to be Human in the Age of the Machine,Hannah Fry,https://www.amazon.co.uk/Hello-World-How-Human-Machine/dp/1784163066,No,Book
"Coders: Who They Are, What They Think and How They Are Changing Our World",Clive Thompson,https://www.amazon.co.uk/gp/product/1529019001,Yes,Book
Bitwise: A Life in Code,David Auerbach,https://www.amazon.co.uk/Bitwise-Life-Code-David-Auerbach/dp/1101972149,No,Book
"Mythical Man-Month, The: Essays on Software Engineering, Anniversary Edition",Frederick Brooks Jr.,https://www.amazon.co.uk/Mythical-Man-Month-Software-Engineering-Anniversary/dp/0201835959,No,Book
"Coders at Work: Reflections on the Craft of Programming,",P Seibel,https://www.amazon.co.uk/Coders-Work-Reflections-Craft-Programming/dp/1430219483,No,Book
