Name,Link,Purchased,Status,Type
CLI Murder Mystery,https://github.com/CCollis-McCann/ManchesterCodes/tree/master/cli-mystery,No,CLI,Game
Duskers,https://store.steampowered.com/app/254320/Duskers/,No,CLI,Game
WarGames,https://overthewire.org/wargames/,No,CLI,Game
Ruby Warrior,https://github.com/ryanb/ruby-warrior,No,Ruby,Game
SQL Murder Mystery,https://mystery.knightlab.com,No,SQL,Game
Elevator Saga,https://play.elevatorsaga.com,No,JavaScript,Game
Untrusted,https://store.steampowered.com/app/1502660/Untrusted/,No,JavaScript,Game
Screeps,https://screeps.com,No,JavaScript,Game
Adventure Land,https://adventure.land,No,JavaScript,Game
Flexbox Defense,http://www.flexboxdefense.com,No,HTML/CSS,Game
Zacatronics,http://www.zachtronics.com,No,Programming,Game
Tomorrow Corporation,http://tomorrowcorporation.com,No,Programming,Game
CSS Diner,https://flukeout.github.io,No,HTML/CSS,Game
Tech Talk: Command Line Tips & Tricks,,No,CLI,Video
Tech Talk: Beginner git Tips and Tricks,,No,CLI,Video
Tech Talk: Problem Solving Using PEDAC,,No,Programming,Video
Tech Talk: Debugging with Pry,https://youtu.be/bC0RqLlQUvY,No,Ruby,Video
Tech Talk: Problem Solved! Using Logic Programming to Find Answers,https://youtu.be/f5Bi6_GOIB8,No,Programming,Video
Tech Talk: Multi-Threading and Ruby's Thread Class,https://launchschool.com/gists/cea2ba1c,No,Ruby,Video
Tech Talk: Working With Files and Directories in Ruby,https://launchschool.com/gists/e514e62e,No,Ruby,Video
Tech Talk: Seeing Metaprogramming and Lambda Function Patterns in Ruby,https://youtu.be/poAxCd7Z0Kg,No,Ruby,Video
Think Like a Programmer: An Introduction to Creative Problem Solving,https://www.amazon.co.uk/gp/product/1593274246/ref=ppx_yo_dt_b_asin_title_o09_s00?ie=UTF8&psc=1,Yes,Programming,Book
Programming Ruby 1.9 & 2.0: The Pragmatic Programmers' Guide (The Facets of Ruby),https://www.amazon.co.uk/gp/product/1937785491/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,Yes,Ruby,Book
